aX,aY,aZ,gX,gY,gZ
0.104,-0.021,-0.004,25.208,6.470,2.869
0.095,-0.032,-0.010,25.513,10.010,1.099
0.096,-0.026,-0.011,27.039,15.625,3.418
0.097,0.020,0.024,30.090,18.860,7.629
0.068,0.064,0.093,31.860,16.174,10.376
0.016,0.131,0.135,35.339,10.315,10.315
-0.020,0.169,0.151,42.603,3.479,7.263
-0.049,0.187,0.108,49.255,-1.953,3.357
-0.120,0.173,0.028,58.411,-3.296,2.014
-0.237,0.163,-0.104,73.425,0.854,2.014
-0.318,0.230,-0.176,85.999,4.578,6.531
-0.409,0.427,-0.093,93.567,2.991,18.433
-0.508,0.751,-0.242,101.013,-10.620,33.203
-0.586,0.993,0.042,91.492,-14.282,57.312
-0.749,1.249,0.570,63.599,-29.724,70.740
-0.987,1.528,1.164,33.081,-51.270,65.308
-1.134,1.835,1.639,5.066,-46.082,49.622
-1.247,2.333,2.201,-13.184,0.977,22.644
-0.863,2.558,2.268,-10.681,53.528,-23.743
-0.593,2.814,2.200,-25.330,92.651,-60.730
-0.538,3.028,1.718,-26.489,117.493,-55.664
-0.497,2.726,1.329,2.380,145.752,-20.264
-0.492,2.148,1.071,45.410,158.325,10.681
-0.516,1.685,0.872,80.933,147.888,35.767
-0.592,1.414,0.740,83.923,114.929,53.406
-0.643,1.383,0.544,55.115,62.500,59.143
-0.644,1.303,0.480,26.550,1.343,46.387
-0.619,1.272,0.539,4.150,-54.993,26.672
-0.484,1.294,0.715,-4.639,-95.276,12.878
-0.374,1.395,0.907,1.282,-123.535,4.089
-0.365,1.434,1.044,7.935,-134.521,-0.671
-0.342,1.367,1.092,8.545,-123.474,-1.648
-0.354,1.217,1.002,7.141,-94.666,-5.066
-0.392,1.047,0.822,7.507,-59.570,-12.939
-0.418,0.904,0.599,6.653,-29.602,-18.005
-0.447,0.728,0.362,7.812,-11.353,-23.926
-0.444,0.537,0.147,11.780,-3.967,-29.785
-0.404,0.402,0.011,12.573,-4.211,-35.645
-0.348,0.293,-0.074,11.169,-11.902,-41.870
-0.303,0.228,-0.111,10.010,-21.545,-43.396
-0.265,0.218,-0.108,7.690,-25.696,-37.659
-0.217,0.255,-0.082,4.211,-24.658,-28.198
-0.199,0.321,-0.049,-2.380,-22.339,-17.517
-0.190,0.383,-0.015,-11.536,-19.470,-7.019
-0.206,0.432,0.020,-19.165,-16.785,-0.916
-0.209,0.490,0.046,-25.818,-14.771,3.601
-0.237,0.535,0.080,-33.875,-16.052,5.920
-0.286,0.552,0.139,-42.969,-18.799,7.874
-0.330,0.550,0.193,-50.476,-18.982,8.789
-0.358,0.564,0.250,-55.664,-13.611,6.653
-0.375,0.607,0.292,-55.664,-5.493,3.174
-0.384,0.690,0.340,-46.997,2.014,0.610
-0.356,0.776,0.389,-34.119,5.737,0.610
-0.320,0.870,0.442,-22.827,1.648,1.404
-0.275,0.944,0.488,-11.963,-2.747,3.967
-0.234,0.999,0.535,-0.122,-2.625,8.789
-0.206,1.026,0.563,9.033,2.258,14.587
-0.198,1.050,0.600,12.268,10.315,20.630
-0.240,1.083,0.645,10.925,17.273,26.184
-0.315,1.138,0.661,8.484,22.156,30.945
-0.384,1.188,0.624,3.723,23.376,31.982
-0.413,1.202,0.567,-2.686,20.752,28.320
-0.414,1.171,0.509,-7.263,14.404,20.691
-0.413,1.101,0.475,-7.446,5.188,12.939
-0.388,1.010,0.459,-3.906,-2.502,8.484
-0.347,0.920,0.442,1.404,-7.202,4.333
-0.310,0.813,0.432,6.897,-10.437,-1.160
-0.302,0.737,0.429,13.367,-12.024,-6.287
-0.303,0.698,0.429,20.447,-10.559,-8.972
-0.302,0.676,0.420,26.733,-7.202,-8.789
-0.651,1.774,2.303,6.165,82.703,-50.598
-0.623,2.245,2.638,72.021,76.233,-27.893
-0.389,2.647,2.216,146.606,93.262,-8.057
-0.156,2.967,1.006,181.763,121.521,7.751
-0.478,2.817,0.220,207.886,121.216,9.338
-0.920,2.424,0.155,222.717,117.859,-15.503
-1.025,1.962,0.527,168.152,121.460,-36.499
-0.991,1.844,0.948,74.463,95.825,-67.810
-0.904,2.055,1.333,15.625,44.312,-92.102
-0.640,2.452,1.441,-35.950,-3.235,-78.735
-0.469,2.702,1.417,-82.520,-38.513,-52.734
-0.348,2.838,0.989,-98.572,-55.420,-35.034
-0.302,2.796,0.500,-89.661,-63.354,-16.785
-0.410,2.516,0.253,-72.998,-78.552,7.812
-0.471,2.184,0.060,-57.678,-96.191,32.715
-0.438,1.876,-0.017,-38.818,-106.201,47.913
-0.359,1.370,0.071,-29.236,-101.379,49.255
-0.255,0.838,0.172,-26.611,-81.482,41.748
-0.151,0.323,0.097,-19.958,-50.476,29.419
-0.076,-0.118,-0.081,-2.197,-13.306,20.813
-0.051,-0.463,-0.265,23.804,20.081,21.790
-0.054,-0.660,-0.468,50.903,43.030,28.198
-0.124,-0.715,-0.689,70.801,52.795,31.860
-0.193,-0.599,-0.919,70.313,49.500,32.104
-0.255,-0.355,-1.007,31.799,31.067,29.907
-0.319,-0.170,-0.928,-23.621,2.258,25.085
-0.331,-0.016,-0.701,-67.932,-22.156,17.578
-0.246,0.125,-0.449,-95.276,-35.156,13.672
-0.133,0.244,-0.208,-101.929,-40.283,13.489
-0.061,0.371,-0.000,-91.370,-40.771,18.066
-0.006,0.455,0.147,-70.129,-36.926,23.865
0.053,0.429,0.193,-48.950,-26.123,27.222
0.120,0.318,0.185,-26.611,-7.446,29.236
0.162,0.190,0.162,-8.301,11.292,31.311
0.168,0.055,0.111,6.287,24.231,32.654
0.139,-0.048,0.069,18.311,28.625,33.020
0.103,-0.108,0.058,24.597,23.437,31.250
0.057,-0.175,0.077,25.818,13.000,27.039
0.017,-0.200,0.126,21.667,1.221,20.325
0.000,-0.177,0.182,16.052,-6.592,14.038
0.001,-0.137,0.219,12.085,-10.742,10.193
0.017,-0.075,0.238,10.681,-10.254,9.338
0.043,-0.002,0.209,14.221,-3.784,10.986
0.068,0.097,0.106,17.517,6.775,14.282
0.080,0.103,0.058,18.188,15.930,15.198
0.055,0.062,0.034,19.592,25.208,17.273
0.007,0.019,-0.020,18.372,34.546,22.827
-0.025,-0.024,-0.076,14.343,39.856,27.649
-0.041,-0.033,-0.128,7.202,44.250,28.687
-0.047,-0.035,-0.147,0.183,49.255,26.855
-0.062,-0.011,-0.178,-3.174,53.528,24.597
-0.104,0.049,-0.220,3.845,58.105,20.874
-0.151,0.166,-0.166,19.348,58.838,14.648
-0.207,0.373,-0.033,36.377,44.189,2.747
-0.293,0.667,0.105,59.570,14.221,-16.357
-0.473,0.897,0.102,88.318,-20.630,-38.635
-0.611,1.026,0.144,102.966,-15.747,-38.940
-0.740,1.076,0.497,82.825,42.908,-11.536
-0.616,1.204,1.208,50.659,90.088,13.855
-0.663,1.560,1.546,35.156,65.613,26.550
-0.841,1.880,1.532,51.453,10.437,29.297
-0.688,2.295,1.502,62.134,-12.878,34.790
-0.167,2.476,1.565,77.393,0.061,32.227
0.267,2.443,1.385,91.370,36.499,21.301
0.284,2.315,1.023,91.919,75.378,14.709
-0.054,2.035,0.804,99.609,117.493,18.921
-0.434,1.682,0.661,102.051,140.503,28.687
-0.744,1.398,0.455,83.374,136.658,29.907
-0.955,1.425,0.459,39.490,105.713,13.733
-0.901,1.786,0.389,-35.706,63.843,-4.150
-0.776,2.149,0.232,-101.074,21.057,-27.893
-0.687,2.158,0.425,-117.493,-27.283,-50.781
-0.598,1.958,0.659,-93.567,-68.848,-49.805
-0.518,1.762,0.756,-60.913,-85.388,-37.537
-0.432,1.693,0.854,-46.997,-83.435,-28.015
-0.351,1.615,0.919,-33.508,-64.880,-20.691
-0.337,1.503,0.869,-10.742,-32.898,-9.949
-0.350,1.345,0.735,8.362,1.709,5.676
-0.350,1.131,0.530,20.264,26.978,21.057
-0.344,0.858,0.358,27.222,32.898,30.945
-0.267,0.640,0.235,28.809,25.879,36.377
-0.189,0.439,0.169,24.292,14.343,37.720
-0.108,0.277,0.114,18.677,3.113,38.513
-0.051,0.195,0.083,16.663,-5.188,38.635
-0.026,0.194,0.071,17.578,-11.414,36.926
-0.031,0.244,0.045,16.418,-16.174,34.180
-0.022,0.317,0.009,8.911,-20.569,30.823
-0.036,0.435,0.004,-2.563,-24.841,26.001
-0.056,0.505,-0.001,-9.827,-25.208,16.785
-0.084,0.523,-0.026,-17.517,-23.987,7.751
-0.123,0.567,-0.028,-32.166,-25.635,4.944
-0.149,0.624,-0.009,-51.392,-28.503,6.287
-0.193,0.697,0.057,-68.115,-29.602,9.521
-0.240,0.725,0.138,-78.430,-30.884,11.719
-0.281,0.801,0.218,-76.233,-33.325,12.634
-0.317,0.883,0.272,-60.364,-37.231,11.841
-0.353,0.952,0.341,-36.804,-41.565,7.874
-0.366,0.970,0.418,-16.174,-41.748,1.709
-0.328,0.977,0.485,-2.686,-36.072,-1.099
-0.274,0.976,0.548,9.827,-27.649,0.366
-0.217,0.956,0.575,23.865,-17.700,4.700
-0.172,0.932,0.564,32.959,-7.996,10.620
-0.155,0.938,0.492,35.706,0.427,17.090
-0.165,0.951,0.393,36.682,8.728,22.278
-0.182,0.965,0.292,39.551,15.503,24.780
-0.223,0.959,0.203,41.748,17.273,24.353
-0.276,0.949,0.165,39.978,14.099,21.484
-0.310,0.920,0.141,35.217,7.568,17.395
-0.321,0.945,0.182,23.071,1.404,10.803
-0.329,0.962,0.237,10.193,-5.005,4.272
-0.335,0.969,0.291,1.099,-10.986,-1.404
-0.339,0.977,0.338,-4.517,-14.282,-4.761
-0.348,0.993,0.363,-7.080,-15.625,-5.432
-0.365,1.030,0.374,-7.202,-16.907,-3.662
-0.372,1.024,0.358,-4.944,-17.517,-0.793
-0.368,1.008,0.336,-2.563,-17.944,3.540
-0.359,0.989,0.343,0.427,-19.287,6.226
-0.334,0.943,0.351,6.836,-20.264,5.127
-0.300,0.892,0.338,14.954,-19.531,2.686
-0.751,1.393,1.164,-25.269,-17.944,17.578
-0.550,1.466,1.455,-46.082,-41.138,-0.427
-0.426,1.704,1.592,-69.580,-45.044,-26.367
-0.252,1.977,1.630,-69.214,-17.029,-19.775
-0.309,2.261,1.628,-79.895,23.682,-13.245
-0.465,2.452,1.494,-90.576,56.274,-14.771
-0.585,2.481,1.333,-88.684,57.068,-18.860
-0.729,2.499,1.301,-76.721,23.743,-14.771
-0.827,2.564,1.388,-66.223,-16.602,0.488
-0.746,2.652,1.353,-72.388,-50.171,20.020
-0.597,2.784,1.122,-93.567,-85.999,34.973
-0.494,2.839,0.934,-113.831,-118.591,38.086
-0.479,2.739,0.858,-131.348,-134.399,35.645
-0.462,2.568,0.629,-130.249,-133.911,37.720
-0.453,2.292,0.291,-102.661,-121.277,35.461
-0.423,1.804,0.008,-55.786,-99.609,27.588
-0.357,1.272,-0.179,-17.212,-77.759,21.118
-0.257,0.802,-0.254,-4.395,-57.800,23.132
-0.245,0.356,-0.320,0.732,-37.842,36.072
-0.264,0.097,-0.344,5.005,-18.738,58.899
-0.198,0.073,-0.442,14.587,-6.897,80.139
-0.127,-0.098,-0.429,28.503,-6.592,73.853
-0.043,-0.345,-0.442,46.265,-5.493,49.255
0.014,-0.487,-0.531,56.091,8.179,28.259
0.019,-0.490,-0.672,56.641,27.710,10.498
-0.012,-0.345,-0.835,52.307,39.978,-4.761
-0.065,-0.188,-0.826,36.560,42.542,-16.418
-0.118,-0.032,-0.715,8.545,37.292,-21.179
-0.190,0.053,-0.540,-23.132,23.376,-23.560
-0.253,0.105,-0.362,-44.678,3.967,-21.484
-0.273,0.130,-0.164,-55.664,-14.648,-15.259
-0.250,0.144,0.043,-56.091,-30.579,-7.812
-0.193,0.172,0.206,-46.448,-37.720,-2.075
-0.110,0.173,0.272,-28.137,-33.325,1.038
-0.012,0.129,0.248,-6.958,-18.860,3.113
0.062,0.073,0.150,9.216,-0.244,5.981
0.117,-0.024,0.090,18.311,16.724,11.292
0.151,-0.127,0.045,20.935,28.870,18.799
0.138,-0.151,0.023,13.367,34.302,24.658
0.100,-0.129,0.027,0.183,34.302,28.381
0.050,-0.109,0.024,-10.864,34.058,31.494
0.017,-0.081,0.031,-19.958,34.485,33.813
0.005,-0.041,0.035,-26.428,34.485,33.813
0.004,-0.018,0.040,-29.968,33.813,31.860
0.004,-0.010,0.023,-29.907,33.020,29.114
-0.005,-0.003,0.001,-29.846,32.898,27.527
-0.054,-0.018,-0.041,-30.212,33.386,27.527
-0.077,-0.018,-0.058,-30.701,34.546,31.067
-0.073,0.016,-0.064,-32.288,36.316,36.316
-0.044,0.066,-0.073,-32.837,38.574,41.077
0.008,0.131,-0.094,-31.189,41.016,42.603
0.032,0.202,-0.122,-27.954,40.527,38.269
0.007,0.194,-0.136,-19.409,36.987,30.396
-0.030,0.154,-0.097,-11.841,37.170,24.353
-0.100,0.078,-0.028,-10.010,40.649,21.484
-0.157,0.105,0.035,-6.348,37.842,23.499
-0.193,0.290,0.146,6.348,18.127,22.217
-0.301,0.582,0.164,34.363,-19.348,11.047
-0.372,0.933,0.000,77.698,-44.861,-3.174
-0.466,1.042,-0.072,119.263,-40.649,-21.667
-0.502,1.283,-0.013,120.361,-22.949,-33.447
-0.516,1.469,0.263,97.229,-18.738,-33.264
-0.602,1.814,0.534,67.261,-31.311,-20.081
-0.820,2.112,0.864,34.973,-39.978,-3.784
-0.964,2.388,1.028,4.517,-14.526,6.836
-1.097,2.723,0.985,-11.963,19.470,5.249
-1.248,2.900,0.399,-13.062,40.588,-6.348
-1.255,2.925,-0.024,-11.719,78.003,-13.672
-0.986,2.788,0.145,-43.274,114.746,-13.855
-0.846,2.420,0.403,-83.801,94.055,-12.390
-0.920,2.185,0.606,-72.205,29.358,-9.094
-0.865,2.167,0.752,-19.470,-17.273,0.366
-0.622,2.172,0.841,34.363,-20.752,11.353
-0.367,1.940,0.876,67.993,-8.240,12.451
-0.265,1.610,0.799,80.872,-1.831,14.221
-0.300,1.386,0.621,76.233,2.258,23.926
-0.387,1.338,0.449,53.345,5.737,34.790
-0.457,1.325,0.400,19.958,1.160,40.710
-0.496,1.217,0.450,-8.240,-12.146,41.443
-0.524,1.058,0.467,-26.550,-26.733,36.194
-0.514,0.999,0.418,-38.208,-33.936,25.757
-0.491,0.999,0.342,-44.373,-33.813,13.000
-0.443,0.981,0.276,-46.814,-31.128,2.747
-0.392,0.920,0.223,-43.274,-28.015,-4.395
-0.348,0.832,0.171,-34.546,-24.658,-10.925
-0.310,0.767,0.126,-27.771,-19.836,-14.282
-0.286,0.691,0.095,-23.315,-13.794,-12.634
-0.262,0.589,0.076,-18.738,-8.423,-7.385
-0.241,0.500,0.063,-14.954,-6.836,-1.038
-0.224,0.425,0.052,-13.794,-8.423,4.883
-0.195,0.383,0.038,-13.184,-11.841,8.667
-0.177,0.377,0.036,-11.902,-15.991,9.644
-0.154,0.414,0.041,-10.620,-18.799,7.751
-0.166,0.453,0.037,-8.972,-19.592,4.272
-0.166,0.531,0.065,-10.315,-16.296,0.427
-0.164,0.584,0.082,-7.385,-11.353,-3.296
-0.185,0.641,0.084,-3.296,-5.798,-5.920
-0.222,0.690,0.080,-0.732,0.916,-5.737
-0.277,0.748,0.065,-0.061,7.690,-1.648
-0.316,0.791,0.065,-1.648,13.000,5.005
-0.329,0.794,0.079,-5.127,14.160,11.353
-0.341,0.858,0.100,-12.512,10.864,17.334
-0.349,0.912,0.120,-20.935,6.287,19.714
-0.353,0.976,0.135,-27.527,3.235,18.555
-0.348,1.035,0.151,-29.663,1.282,16.663
-0.361,1.064,0.159,-23.682,-0.610,13.062
-0.386,1.037,0.169,-12.817,-1.892,8.179
-0.405,1.000,0.161,0.000,-0.671,3.601
-0.414,0.957,0.143,12.817,2.197,-0.366
-0.398,0.925,0.113,19.775,6.287,-2.502
-0.383,0.902,0.084,21.790,9.399,-2.991
-0.374,0.877,0.073,21.362,10.925,-2.808
-0.361,0.876,0.080,17.944,11.414,-1.953
-0.344,0.904,0.100,12.573,8.728,-1.099
-0.332,0.915,0.118,8.545,4.333,-0.793
-0.328,0.919,0.150,5.127,1.038,0.305
-0.325,0.919,0.195,2.686,-2.075,1.526
-0.324,0.911,0.223,1.404,-4.761,1.953
-0.325,0.882,0.206,0.305,-6.104,2.014
-0.674,1.723,1.020,68.481,42.236,-6.165
-0.799,2.119,0.603,96.008,47.180,-7.751
-0.755,2.531,0.481,86.914,51.636,2.625
-0.615,2.791,0.771,69.519,52.246,13.428
-0.644,2.927,0.826,71.289,49.377,19.714
-0.719,3.192,0.527,67.627,41.260,20.691
-0.858,3.144,0.371,57.861,31.555,11.658
-1.027,2.825,0.547,27.466,24.536,-6.409
-1.319,2.666,0.828,-10.254,19.836,-24.963
-1.475,2.755,0.959,-22.644,14.526,-34.790
-1.570,2.830,0.806,-6.042,10.071,-27.588
-1.478,2.850,0.672,15.381,11.169,-13.855
-1.232,2.881,0.753,25.574,0.916,5.981
-1.009,2.570,0.836,38.696,-22.827,19.470
-0.807,2.235,0.431,53.650,-23.315,22.949
-0.562,1.917,-0.084,77.942,0.793,15.686
-0.331,1.588,-0.276,94.360,16.052,2.441
-0.193,0.931,-0.164,101.990,24.292,-7.202
-0.100,0.795,-0.212,91.492,42.664,-1.343
-0.110,0.244,-0.603,86.792,72.144,-5.920
-0.007,0.097,-0.578,59.753,78.735,-8.179
0.070,-0.269,-0.701,53.040,80.566,-23.560
0.049,-0.964,-0.689,20.264,81.909,-28.259
0.085,-0.280,-0.543,11.536,81.299,-43.640
-0.113,-0.676,-1.029,-14.832,72.449,-61.523
-0.131,-0.751,-1.014,-57.617,52.124,-51.575
-0.119,-0.303,-0.936,-50.049,19.043,-45.593
-0.065,-0.002,-0.596,-65.125,-13.428,-21.118
-0.034,0.181,-0.237,-85.144,-30.212,-25.879
-0.020,0.315,-0.034,-104.126,-36.987,-27.649
-0.064,0.327,0.066,-98.938,-40.894,-26.733
-0.084,0.328,0.143,-77.148,-41.565,-18.372
-0.041,0.305,0.205,-46.875,-36.499,-5.920
0.001,0.236,0.239,-15.320,-32.654,3.052
-0.016,0.144,0.206,14.160,-31.067,9.033
-0.058,0.048,0.137,41.626,-26.611,15.625
-0.135,-0.069,0.069,60.303,-20.142,24.109
-0.146,-0.177,0.007,64.087,-14.221,32.593
-0.116,-0.229,0.022,52.612,-14.343,37.292
-0.040,-0.196,0.032,34.912,-18.738,39.612
0.028,-0.106,0.080,22.583,-22.705,38.330
0.057,-0.048,0.026,14.160,-20.691,33.142
0.086,0.053,-0.049,9.949,-18.921,30.273
0.081,0.066,-0.133,9.277,-17.456,25.391
0.070,0.045,-0.154,6.653,-17.334,20.081
0.053,0.029,-0.138,2.625,-17.273,15.625
0.033,0.032,-0.137,-1.892,-15.625,12.573
0.001,0.025,-0.140,-5.066,-13.672,10.010
-0.042,0.016,-0.155,-6.165,-12.634,8.545
-0.071,0.000,-0.192,-6.958,-10.925,8.423
-0.061,0.022,-0.191,-11.047,-7.812,8.728
-0.062,0.052,-0.170,-13.855,-5.371,8.484
-0.085,0.087,-0.171,-11.719,-4.211,7.935
-0.101,0.074,-0.157,-5.371,-4.578,7.446
-0.123,0.041,-0.116,-2.869,-6.348,8.057
-0.170,0.012,-0.082,-1.831,-7.141,9.644
-0.153,0.039,0.022,-0.732,-7.874,13.184
-0.111,0.106,0.148,10.681,-13.245,16.235
-0.152,0.205,0.141,34.302,-20.508,19.104
-0.329,0.328,-0.014,60.120,-26.184,25.024
-0.456,0.645,-0.218,67.383,-24.109,39.368
-0.461,0.990,0.116,56.824,-23.987,54.321
-0.494,1.449,0.540,59.631,-29.907,60.608
-0.713,1.766,0.770,88.562,-42.542,56.702
-0.844,2.143,0.760,98.755,-43.396,54.199
-0.827,2.360,0.919,65.247,-32.349,40.039
-0.748,2.364,1.066,36.499,-26.428,12.573
-0.539,2.490,1.027,19.104,-10.681,-5.310
-0.636,2.484,0.537,7.141,-6.531,-8.057
-0.798,2.098,-0.234,9.277,-3.052,-3.784
-0.831,1.855,-0.470,-21.790,3.540,3.174
-0.742,1.743,-0.142,-63.599,6.165,6.348
-0.862,1.857,0.297,-87.158,10.681,11.841
-1.185,1.944,0.789,-70.068,8.240,23.743
-1.390,1.987,1.156,-32.959,-1.648,38.513
-1.345,2.050,1.355,3.418,-12.756,45.776
-1.124,2.071,1.311,39.185,-23.437,34.912
-0.820,1.982,1.069,54.260,-25.330,11.963
-0.555,1.874,0.807,38.879,-15.015,-7.263
-0.389,1.728,0.593,11.963,0.488,-19.653
-0.319,1.527,0.444,-9.460,13.916,-26.611
-0.284,1.338,0.393,-22.400,19.470,-30.579
-0.310,1.133,0.372,-22.095,19.226,-32.593
-0.316,1.069,0.344,-13.672,19.226,-28.442
-0.314,1.103,0.266,-4.395,17.578,-16.968
-0.325,1.119,0.156,5.066,14.587,-1.343
-0.306,1.101,0.119,11.292,8.667,12.329
-0.286,1.011,0.136,14.160,-0.488,19.958
-0.274,0.948,0.153,12.817,-8.301,21.973
-0.273,0.875,0.158,8.850,-13.367,20.691
-0.293,0.794,0.160,2.747,-15.625,17.700
-0.324,0.670,0.137,-6.348,-15.503,13.550
-0.337,0.553,0.143,-17.700,-15.259,9.033
-0.354,0.481,0.147,-26.917,-15.076,5.188
-0.362,0.479,0.125,-31.677,-13.428,2.319
-0.364,0.484,0.071,-32.349,-11.230,-0.366
-0.352,0.518,0.024,-32.227,-10.437,-1.831
-0.319,0.585,0.029,-32.043,-11.536,-2.136
-0.270,0.640,0.074,-28.931,-13.489,-2.502
-0.220,0.662,0.093,-22.400,-13.794,-4.028
-0.191,0.685,0.076,-16.174,-13.000,-5.371
-0.181,0.702,0.080,-11.353,-13.000,-5.371
-0.179,0.721,0.083,-7.324,-12.939,-4.272
-0.194,0.720,0.070,-2.747,-12.146,-3.235
-0.223,0.718,0.037,0.427,-10.254,-3.113
-0.252,0.729,0.018,-0.122,-7.568,-1.709
-0.267,0.758,0.031,-3.784,-5.615,0.366
-0.289,0.786,0.054,-6.714,-5.981,1.770
-0.319,0.826,0.101,-9.277,-7.141,2.686
-0.348,0.860,0.140,-10.254,-7.141,3.052
-0.368,0.898,0.192,-9.033,-6.592,3.540
-0.380,0.877,0.224,-5.432,-5.371,3.601
-0.384,0.849,0.233,-1.526,-3.235,4.333
-0.383,0.833,0.224,0.549,-0.671,6.348
-0.377,0.820,0.211,2.014,1.587,9.277
-0.386,0.835,0.179,2.380,4.150,12.573
-0.377,0.878,0.129,1.160,7.996,14.526
-0.363,0.894,0.111,-0.061,9.277,15.259
-0.356,0.878,0.098,-1.953,7.629,14.099
-0.876,2.041,1.324,90.515,11.719,-18.433
-1.393,2.416,0.732,90.881,41.870,-25.269
-1.361,3.201,0.249,64.514,40.405,-7.935
-1.114,3.275,0.041,58.960,22.583,-0.854
-0.805,3.118,0.228,48.706,23.499,-16.968
-0.644,3.007,0.518,7.629,29.419,-32.104
-0.630,3.083,0.456,-15.625,27.710,-49.133
-0.700,2.995,0.411,-27.344,19.897,-58.167
-0.730,2.659,0.550,-36.621,12.451,-55.359
-0.619,2.473,0.619,-48.279,3.967,-42.725
-0.791,2.274,0.370,-46.814,7.690,-29.968
-0.764,2.304,0.159,-34.424,18.433,-12.085
-0.668,2.169,0.023,-5.981,23.132,2.075
-0.542,1.802,-0.014,22.644,30.334,9.338
-0.434,1.377,0.012,30.640,44.678,14.404
-0.330,0.750,0.016,40.283,61.096,10.620
-0.298,0.048,-0.121,51.086,74.524,0.854
-0.229,-0.370,-0.430,63.538,83.984,-12.573
-0.083,-0.773,-0.749,81.421,85.938,-32.410
0.048,-1.353,-1.075,83.374,81.055,-43.091
0.189,-0.764,-0.926,63.110,66.101,-29.053
0.127,-0.797,-1.113,8.728,59.143,-25.696
0.045,-0.206,-0.798,-26.672,37.964,-14.282
-0.099,-0.004,-0.738,-45.044,19.775,-6.592
-0.158,0.362,-0.516,-49.561,3.845,-1.404
-0.241,0.458,-0.384,-31.372,-12.756,0.732
-0.235,0.419,-0.221,-15.503,-31.067,-2.380
-0.183,0.358,-0.066,-10.010,-42.908,-6.531
-0.150,0.258,-0.002,-5.188,-46.265,-10.559
-0.137,0.126,0.001,-0.427,-43.640,-12.085
-0.125,0.010,0.046,1.160,-40.161,-9.705
-0.133,-0.057,0.097,-1.038,-35.767,-5.859
-0.101,-0.117,0.129,-0.610,-29.663,-2.686
-0.093,-0.154,0.172,3.662,-27.588,-0.244
-0.079,-0.208,0.146,9.705,-23.865,3.479
-0.044,-0.176,0.145,6.958,-18.799,11.780
0.031,-0.120,0.127,3.052,-14.648,20.020
0.097,-0.043,0.122,4.456,-12.878,23.865
0.150,0.047,0.124,5.859,-11.719,26.184
0.197,0.156,0.107,11.047,-9.766,26.062
0.223,0.177,0.065,19.287,-7.202,22.705
0.229,0.128,-0.016,25.513,-3.784,18.921
0.216,0.130,-0.062,22.827,0.854,16.785
0.184,0.067,-0.113,15.869,6.653,14.221
0.125,0.050,-0.142,7.324,9.827,15.076
0.079,0.038,-0.184,-2.625,12.024,16.174
0.022,0.033,-0.180,-8.789,11.719,17.334
-0.018,0.043,-0.187,-9.277,9.460,15.747
-0.076,0.082,-0.209,-4.944,5.981,14.038
-0.154,0.063,-0.250,6.775,4.395,10.620
-0.283,0.018,-0.283,23.987,3.723,7.080
-0.365,-0.055,-0.346,29.480,7.385,7.141
-0.380,-0.124,-0.227,21.729,10.437,9.949
-0.382,-0.073,-0.046,11.902,5.249,10.498
-0.369,0.151,0.172,14.954,-10.437,8.362
-0.350,0.422,0.385,35.095,-22.522,8.301
-0.479,0.654,0.339,53.345,-17.334,14.526
-0.567,0.743,-0.051,58.472,5.310,17.578
-0.662,1.023,-0.039,34.607,11.108,21.484
-0.624,1.522,0.338,20.569,-9.827,27.100
-0.594,1.929,0.621,36.682,-29.480,35.889
-0.519,2.287,0.548,53.894,-11.353,47.668
-0.433,2.443,0.382,40.222,26.733,59.204
-0.193,2.736,0.925,21.179,40.894,59.570
-0.210,2.696,0.687,-5.249,72.144,28.809
-0.552,2.600,0.393,-24.048,71.716,7.385
-0.942,2.355,-0.198,-48.340,60.242,-6.287
-1.016,2.245,-0.394,-90.637,45.532,-12.268
-0.921,2.102,0.112,-118.164,15.442,-11.292
-1.003,2.056,0.510,-116.943,0.549,0.305
-1.088,2.382,0.646,-87.952,5.066,34.973
-1.043,2.545,0.708,-44.128,8.484,65.552
-0.865,2.499,0.620,-2.136,12.329,71.960
-0.613,2.362,0.549,24.231,16.846,59.326
-0.407,2.155,0.487,27.222,17.151,38.269
-0.347,1.959,0.367,10.803,13.855,18.372
-0.354,1.762,0.189,-13.611,13.550,3.784
-0.360,1.530,0.074,-30.823,13.855,-4.089
-0.343,1.265,0.098,-37.903,11.536,-4.761
-0.315,1.022,0.166,-38.330,8.301,-1.465
-0.291,0.875,0.166,-36.682,9.216,5.920
-0.252,0.762,0.103,-34.363,12.146,15.564
-0.219,0.740,0.054,-33.936,11.353,25.269
-0.184,0.731,0.031,-31.677,9.277,31.006
-0.159,0.692,0.033,-25.513,6.104,32.043
-0.142,0.676,0.048,-15.381,1.648,30.090
-0.140,0.637,0.028,-3.967,-0.610,25.146
-0.129,0.570,0.036,4.944,-0.671,18.860
-0.117,0.491,0.032,12.390,-0.916,13.184
-0.113,0.437,0.049,17.273,-1.160,9.888
-0.097,0.400,0.022,19.287,0.732,8.423
-0.059,0.356,-0.012,20.386,3.967,6.531
-0.046,0.352,-0.015,18.799,4.211,6.714
-0.070,0.337,-0.047,13.733,4.761,6.531
-0.104,0.409,-0.065,7.263,6.897,6.836
-0.115,0.448,-0.060,4.395,6.226,7.324
-0.136,0.468,-0.053,3.296,1.343,6.165
-0.178,0.512,-0.088,0.854,-4.944,5.859
-0.223,0.598,-0.142,-7.996,-10.010,7.080
