aX,aY,aZ,gX,gY,gZ
-0.784,1.961,0.915,47.913,-36.255,-35.095
-0.674,2.227,0.898,66.711,-24.292,-30.151
-0.615,2.478,0.641,69.702,3.479,-13.550
-0.725,2.743,0.423,75.073,23.315,13.916
-0.895,2.932,0.422,83.191,31.982,41.382
-1.088,3.110,0.406,73.975,34.607,51.941
-1.238,3.224,0.554,35.339,33.752,38.879
-1.425,3.351,0.841,-8.240,24.414,17.212
-1.452,3.321,0.883,-33.569,8.484,-1.160
-1.404,3.121,0.935,-41.077,-9.583,-15.442
-1.302,2.872,0.878,-47.913,-31.799,-25.635
-1.106,2.608,0.663,-48.462,-51.208,-27.710
-0.926,2.308,0.456,-46.143,-60.303,-21.912
-0.719,2.035,0.122,-44.067,-59.204,-11.658
-0.557,1.698,-0.208,-34.973,-53.345,-1.831
-0.473,1.234,-0.226,-25.330,-39.307,10.254
-0.367,0.782,-0.151,-19.958,-8.972,29.297
-0.216,0.380,-0.240,-1.038,34.607,51.086
-0.067,-0.161,-0.458,42.053,78.003,61.646
-0.056,-0.621,-0.663,77.820,99.792,65.979
-0.067,-0.833,-0.818,86.853,99.182,67.932
-0.105,-0.761,-0.954,73.853,83.740,63.538
-0.038,-0.598,-0.938,48.401,67.200,51.880
-0.104,-0.354,-0.822,19.958,39.551,33.203
-0.063,-0.149,-0.681,-5.310,14.343,18.005
-0.011,0.064,-0.474,-26.978,-3.601,5.371
0.005,0.238,-0.200,-40.649,-14.709,-7.751
0.039,0.290,0.056,-42.419,-21.545,-19.348
0.090,0.321,0.185,-34.424,-22.583,-25.085
0.117,0.312,0.210,-22.095,-15.991,-25.940
0.114,0.302,0.249,-14.587,-3.418,-19.409
0.097,0.276,0.260,-6.470,11.658,-7.568
0.132,0.195,0.267,4.761,25.391,3.601
0.139,0.128,0.262,15.747,32.959,14.343
0.114,0.069,0.264,21.851,38.574,25.879
0.092,0.012,0.261,21.606,44.128,34.851
0.070,-0.041,0.231,18.677,50.110,39.795
0.030,-0.055,0.176,15.808,55.786,41.382
0.004,-0.069,0.106,17.761,60.059,41.687
-0.030,-0.099,0.039,22.766,59.143,39.063
-0.053,-0.104,-0.017,24.719,52.368,33.569
-0.054,-0.114,-0.058,25.146,40.527,25.513
-0.066,-0.124,-0.061,22.278,25.879,16.846
-0.052,-0.130,-0.059,18.066,15.442,10.376
-0.026,-0.105,-0.057,13.123,8.850,5.188
-0.008,-0.079,-0.061,8.911,3.784,0.488
-0.014,-0.056,-0.071,7.385,0.732,-2.441
-0.008,-0.012,-0.078,9.521,0.305,-2.930
-0.001,0.042,-0.107,12.939,0.977,-3.113
0.030,0.086,-0.093,14.282,2.686,-4.761
0.007,0.099,-0.103,16.479,3.052,-7.751
0.019,0.067,-0.085,19.165,7.446,-7.263
-0.007,0.066,-0.065,18.921,8.362,-7.874
-0.130,0.168,-0.047,17.029,-1.404,-11.597
-0.320,0.320,-0.024,23.865,-15.015,-15.991
-0.478,0.478,0.087,36.499,-21.057,-17.822
-0.638,0.723,0.183,47.852,-13.245,-10.620
-0.672,0.995,0.129,55.969,9.460,2.319
-0.603,1.270,0.345,44.006,42.542,21.362
-0.785,1.764,0.478,4.089,30.640,32.104
-1.127,2.369,0.597,-42.114,-15.930,40.283
-1.294,2.827,0.590,-65.552,-34.119,69.275
-1.182,3.050,0.732,-75.867,-14.343,93.079
-1.148,3.054,1.054,-57.678,-3.479,68.481
-0.895,2.752,1.279,-10.071,8.789,22.217
-0.506,2.522,1.022,35.461,39.734,-2.014
-0.355,2.287,0.633,66.406,85.327,0.488
-0.372,1.759,0.405,86.060,117.981,11.902
-0.501,1.363,0.262,93.567,110.657,14.404
-0.619,1.187,0.187,86.731,71.899,10.193
-0.670,1.162,0.211,56.091,21.912,2.075
-0.713,1.263,0.261,3.784,-24.475,-8.972
-0.763,1.332,0.247,-45.349,-52.490,-24.841
-0.776,1.310,0.230,-69.885,-61.279,-38.757
-0.776,1.205,0.204,-74.768,-60.303,-45.776
-0.708,1.111,0.145,-66.589,-56.152,-44.556
-0.575,1.064,0.094,-53.589,-48.584,-38.574
-0.444,1.049,0.058,-39.917,-35.889,-30.762
-0.394,1.009,0.072,-28.564,-19.348,-20.386
-0.390,0.905,0.106,-18.372,-2.563,-10.437
-0.409,0.772,0.106,-13.184,5.371,-2.380
-0.425,0.640,0.081,-14.709,5.066,-0.061
-0.397,0.507,0.031,-17.212,0.610,-2.686
-0.324,0.428,-0.018,-19.226,-8.423,-6.226
-0.249,0.392,-0.026,-18.311,-20.386,-9.521
-0.191,0.410,0.019,-19.775,-30.334,-10.803
-0.170,0.487,0.082,-22.583,-36.194,-11.108
-0.156,0.588,0.155,-20.569,-36.682,-9.399
-0.160,0.648,0.223,-12.878,-32.532,-6.287
-0.186,0.692,0.272,-5.737,-23.315,-0.793
-0.198,0.722,0.296,0.366,-10.803,5.310
-0.217,0.741,0.306,4.150,0.000,8.728
-0.250,0.744,0.294,4.700,8.240,9.644
-0.282,0.761,0.288,4.761,13.916,10.498
-0.322,0.787,0.268,7.263,17.334,11.414
-0.334,0.812,0.244,9.644,18.188,12.268
-0.337,0.845,0.238,9.827,17.212,12.878
-0.335,0.875,0.225,9.094,17.273,13.306
-0.333,0.914,0.225,8.240,20.142,13.062
-0.353,0.946,0.228,8.972,23.376,13.733
-0.369,0.974,0.225,12.390,24.597,15.930
-0.378,1.034,0.207,14.709,23.315,17.029
-0.384,1.101,0.179,12.512,18.921,14.771
-0.399,1.152,0.170,6.653,13.245,10.986
-0.423,1.192,0.173,0.732,9.094,7.996
-0.439,1.214,0.163,-3.052,7.751,5.798
-0.456,1.210,0.155,-5.066,6.165,4.944
-0.460,1.177,0.157,-5.066,3.418,5.066
-0.447,1.123,0.165,-2.808,1.038,6.653
-0.418,1.075,0.163,1.953,-1.526,9.583
-0.377,1.033,0.159,8.850,-4.272,12.085
-0.341,0.953,0.184,14.771,-7.019,12.390
-0.324,0.896,0.200,18.372,-8.545,10.925
-0.314,0.839,0.207,20.752,-6.897,10.010
-0.302,0.790,0.204,21.912,-4.089,9.460
-0.299,0.773,0.199,21.729,-2.991,8.545
-0.313,0.751,0.200,21.484,-3.418,6.897
-0.335,0.741,0.208,19.348,-4.272,5.798
-0.361,0.739,0.209,16.174,-4.333,5.859
-0.629,1.458,1.183,73.120,-30.640,9.521
-0.629,1.853,1.300,61.340,-8.301,15.991
-0.664,2.187,1.407,62.744,25.391,24.109
-0.733,2.496,1.170,79.163,53.528,29.907
-0.865,2.693,0.610,87.219,60.913,21.790
-0.953,2.549,0.142,98.877,56.824,-6.042
-1.007,2.374,0.129,95.520,47.852,-26.428
-1.121,2.295,0.358,63.049,23.010,-19.897
-1.213,2.302,0.686,44.006,-1.892,-9.460
-1.380,2.489,1.091,36.072,-13.794,0.244
-1.493,2.659,1.340,19.287,-20.081,6.348
-1.403,2.798,1.217,-20.569,-33.386,7.202
-1.227,2.883,1.070,-58.411,-48.584,8.606
-1.030,2.884,0.793,-74.707,-54.810,10.498
-0.748,2.672,0.428,-58.655,-52.734,9.094
-0.516,2.292,0.158,-35.217,-42.847,4.456
-0.345,1.698,-0.061,-8.728,-25.513,2.502
-0.254,1.130,-0.207,10.315,-9.460,7.446
-0.255,0.672,-0.318,16.296,0.671,10.376
-0.300,0.116,-0.415,24.597,7.507,5.798
-0.222,-0.355,-0.474,31.189,9.460,2.136
-0.068,-0.672,-0.562,32.837,2.014,2.625
0.037,-0.808,-0.637,34.058,-0.610,12.512
0.182,-0.785,-0.698,32.104,7.202,29.724
0.130,-0.433,-0.665,15.259,14.832,33.813
0.089,-0.113,-0.564,-8.728,17.639,28.503
0.057,0.108,-0.497,-22.522,15.991,23.193
0.009,0.213,-0.366,-26.001,16.174,16.907
-0.031,0.229,-0.212,-22.278,16.235,14.343
-0.057,0.193,-0.072,-16.235,12.512,16.663
-0.094,0.178,0.076,-11.902,4.395,20.996
-0.099,0.181,0.231,-11.414,-1.709,26.123
-0.033,0.152,0.338,-6.653,-7.263,29.907
0.029,0.164,0.383,-0.427,-11.536,27.283
0.098,0.190,0.383,4.883,-9.277,20.081
0.118,0.212,0.350,12.512,0.427,11.230
0.108,0.201,0.297,17.456,12.329,3.174
0.109,0.099,0.208,20.447,22.095,-2.869
0.125,-0.049,0.071,21.240,27.100,-4.089
0.112,-0.170,-0.012,17.883,27.954,-0.244
0.035,-0.203,-0.052,11.841,30.151,6.775
-0.020,-0.202,-0.097,8.789,36.316,15.686
-0.074,-0.166,-0.132,7.202,39.551,23.621
-0.114,-0.095,-0.129,6.287,35.767,27.283
-0.105,-0.035,-0.108,9.705,29.358,24.902
-0.089,-0.013,-0.094,11.169,20.325,16.541
-0.089,-0.001,-0.088,7.446,15.198,7.751
-0.085,0.006,-0.106,1.221,19.958,4.272
-0.078,-0.005,-0.081,-4.883,28.259,6.165
-0.079,-0.025,-0.042,-11.597,35.950,9.521
-0.078,-0.020,-0.059,-15.076,41.016,13.062
-0.057,0.000,-0.107,-13.367,43.091,15.747
-0.010,0.044,-0.172,-8.240,41.321,18.738
0.034,0.111,-0.253,-0.854,33.386,20.203
0.033,0.171,-0.321,10.498,23.071,18.066
0.004,0.210,-0.264,27.832,20.996,16.357
