aX,aY,aZ,gX,gY,gZ
-0.006,1.000,-0.107,-38.940,-16.785,-27.954
0.088,1.830,-0.732,-171.082,124.939,43.152
-0.108,1.493,-0.709,-124.512,102.722,6.775
0.020,1.199,-0.560,-52.063,82.642,-9.094
0.295,1.062,-0.514,21.606,68.176,-16.174
0.382,0.891,-0.344,75.867,56.335,-36.011
0.394,0.858,-0.196,94.421,52.185,-43.457
0.332,0.908,-0.177,91.187,60.364,-42.358
0.233,1.000,-0.146,82.764,70.557,-34.973
0.139,1.043,-0.063,76.965,73.914,-28.870
0.069,1.078,-0.003,69.946,72.083,-23.376
0.044,1.091,0.076,60.120,66.711,-17.639
0.067,1.102,0.122,46.204,62.378,-13.245
0.130,1.100,0.130,29.724,59.265,-10.376
0.211,1.049,0.088,14.771,58.594,-9.460
0.265,1.002,0.017,-0.427,59.937,-8.057
0.279,0.997,-0.066,-14.526,61.279,-5.493
0.268,0.980,-0.148,-24.292,61.340,-3.113
0.264,0.970,-0.223,-28.748,58.777,-1.648
0.250,0.952,-0.216,-27.405,52.490,-0.122
0.234,0.930,-0.155,-20.569,43.518,0.549
0.207,0.904,-0.118,-10.681,35.461,1.099
0.177,0.845,-0.075,1.282,27.405,0.854
0.164,0.810,-0.030,14.832,19.226,0.793
0.169,0.797,0.037,28.748,10.803,0.122
0.184,0.828,0.120,39.673,5.371,-1.526
0.194,0.911,0.134,48.401,6.165,-4.639
0.178,0.943,0.112,56.519,10.742,-9.827
0.119,0.850,0.012,61.218,16.113,-15.747
0.095,0.818,-0.104,52.490,15.625,-15.564
0.082,0.778,-0.165,32.043,8.728,-14.343
0.079,0.739,-0.131,5.859,0.610,-13.245
0.062,0.783,-0.006,-21.912,-3.418,-7.690
0.013,0.849,0.070,-37.170,-0.549,-1.953
-0.031,0.898,0.026,-39.063,6.287,1.831
-0.056,0.913,-0.017,-32.715,9.460,3.113
-0.027,0.950,-0.052,-25.024,7.507,4.578
0.042,0.981,-0.059,-15.869,2.441,6.042
0.085,1.016,-0.052,-5.188,-2.930,6.592
0.140,1.012,-0.000,9.338,-8.118,4.822
0.196,0.964,0.077,23.376,-10.681,1.587
0.237,0.966,0.119,27.954,-6.714,0.488
0.255,1.018,0.105,30.457,2.258,2.319
0.281,1.104,0.025,36.560,13.062,4.211
0.137,1.135,-0.314,41.077,24.658,5.737
-0.002,1.173,-0.755,40.771,38.025,11.230
-0.111,1.155,-0.836,23.499,35.095,18.799
-0.162,1.257,-0.862,-4.944,17.822,24.658
-0.147,1.342,-0.625,-19.592,0.671,24.048
-0.187,1.110,-0.194,-19.897,-8.911,11.536
-0.242,1.026,0.068,-40.588,-2.502,7.690
-0.256,1.061,0.104,-62.134,11.902,9.583
-0.173,0.985,0.032,-50.781,22.766,6.104
0.014,0.984,0.013,-33.264,18.677,5.676
0.029,1.061,-0.064,-6.836,10.498,10.864
-0.045,1.105,-0.060,22.278,-2.441,13.977
-0.098,1.099,-0.026,33.752,-14.771,15.259
-0.078,1.097,-0.135,31.067,-18.066,17.700
0.214,1.343,-0.147,11.658,-21.362,25.757
0.212,1.407,-0.215,5.554,-18.127,27.588
0.163,1.347,-0.234,3.113,-9.338,22.766
0.093,1.272,-0.250,-2.991,-4.211,19.043
0.018,1.170,-0.254,-9.277,-3.601,15.991
-0.049,1.098,-0.213,-15.625,-6.653,15.930
-0.092,1.072,-0.199,-17.822,-9.399,17.944
-0.118,1.045,-0.173,-13.855,-11.658,20.264
-0.132,1.017,-0.118,-8.179,-15.015,23.987
-0.107,0.959,-0.035,-3.174,-18.677,27.832
-0.057,0.920,0.025,0.793,-21.118,31.189
-0.016,0.900,0.066,4.150,-21.606,32.959
0.008,0.904,0.053,6.775,-21.057,32.410
0.041,0.891,0.019,10.681,-22.217,29.480
0.083,0.891,0.014,15.259,-28.320,25.391
0.107,0.871,-0.012,21.729,-35.217,20.447
0.124,0.832,-0.078,29.419,-38.330,14.771
0.125,0.813,-0.120,35.339,-40.161,10.254
0.115,0.809,-0.148,39.307,-42.847,7.385
0.065,0.806,-0.163,42.542,-47.668,5.554
-0.000,0.798,-0.157,44.983,-53.101,5.188
-0.051,0.802,-0.106,44.739,-59.570,6.348
-0.090,0.832,-0.024,41.016,-64.941,8.423
-0.107,0.851,0.044,37.170,-64.819,9.460
-0.104,0.840,0.058,33.936,-58.533,9.888
-0.158,0.812,0.037,29.114,-50.293,11.169
-0.171,0.819,0.009,21.057,-42.969,14.160
-0.173,0.806,0.018,15.076,-37.964,16.602
-0.159,0.761,-0.004,13.062,-34.058,16.296
-0.178,0.757,0.026,11.230,-34.607,17.578
-0.186,0.764,0.025,12.146,-34.973,18.738
-0.215,0.778,-0.023,15.808,-32.654,17.944
-0.148,0.846,-0.038,18.677,-28.809,16.357
-0.055,0.906,-0.185,20.020,-18.860,15.686
-0.085,0.946,-0.294,24.353,-14.465,13.306
-0.102,1.091,-0.447,22.095,-15.503,17.090
-0.006,1.211,-0.581,18.005,-16.785,23.804
0.067,1.237,-0.526,19.165,-27.161,25.269
0.101,1.277,-0.468,19.409,-39.551,23.376
0.122,1.298,-0.514,20.203,-43.335,20.752
0.151,1.297,-0.518,24.536,-47.485,14.709
0.217,1.277,-0.439,32.898,-57.678,6.042
0.231,1.259,-0.353,42.358,-66.467,-0.854
0.172,1.182,-0.281,52.551,-67.505,-4.761
0.072,1.126,-0.180,58.228,-63.049,-3.662
0.020,1.090,-0.103,55.054,-55.725,3.052
0.007,1.097,0.011,46.082,-51.270,10.925
-0.013,1.094,0.078,36.743,-50.171,14.465
-0.035,1.078,0.047,25.391,-49.805,14.709
-0.025,1.062,-0.030,8.240,-50.049,13.245
-0.017,1.050,-0.088,-9.277,-53.284,10.620
0.005,1.066,-0.090,-23.621,-57.617,8.667
0.016,1.058,-0.051,-34.607,-59.448,7.935
0.008,1.052,-0.071,-41.626,-56.580,8.423
0.006,1.046,-0.110,-43.762,-52.063,9.583
-0.017,1.033,-0.130,-42.603,-50.720,11.597
-0.018,0.996,-0.098,-40.771,-52.795,13.672
-0.003,0.977,-0.022,-40.161,-57.007,16.541
-0.003,0.935,-0.040,-38.818,-54.504,19.348
0.005,0.922,-0.188,-37.048,-45.776,22.339
-0.012,0.920,-0.336,-35.583,-41.626,26.367
-0.004,0.905,-0.415,-34.790,-45.776,29.175
0.050,1.720,-0.971,-395.935,-89.172,146.973
-0.001,1.895,-0.473,-330.322,-134.338,138.611
-0.098,1.947,-0.163,-194.336,-147.705,107.056
-0.064,1.703,0.088,-51.941,-140.686,60.547
-0.180,1.342,0.060,58.899,-116.882,20.447
-0.214,1.203,-0.080,106.323,-91.980,4.028
-0.213,1.164,-0.084,120.361,-83.923,0.183
-0.222,1.039,-0.067,123.413,-85.327,-6.897
-0.117,1.031,-0.083,108.704,-88.989,-13.428
-0.033,1.010,-0.135,93.079,-91.492,-17.090
0.029,0.931,-0.187,83.740,-93.628,-21.667
0.062,0.869,-0.222,79.834,-96.558,-24.658
0.075,0.794,-0.191,81.360,-101.868,-28.992
0.082,0.722,-0.202,83.862,-103.577,-32.776
0.065,0.655,-0.226,83.069,-103.394,-35.034
0.040,0.591,-0.257,74.768,-103.638,-34.790
0.066,0.599,-0.295,56.763,-105.164,-29.297
0.069,0.640,-0.312,32.043,-107.239,-19.958
0.054,0.684,-0.300,5.005,-107.971,-8.606
0.044,0.787,-0.293,-16.357,-106.079,3.784
0.053,0.853,-0.295,-29.541,-103.882,14.404
0.058,0.858,-0.302,-39.185,-103.455,21.362
